Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale
20150330,1,2,11,1,030,6,0.33745781777278,4.0
20150331,1,2,6,1,057,3,-1.29032258064516,8.0
20150331,1,2,23,1,061,10,-2.57309941520468,6.4
20150331,1,2,23,1,172,10,-2.57309941520468,-5.0
20150331,1,2,30,1,040,6,-1.79487179487179,1.0
20150401,1,2,2,1,042,2,0.76530612244898,1.9
20150401,1,2,23,1,010,3,-5.66448801742919,0.0
20150401,1,2,23,1,057,10,2.28310502283106,8.0
20150401,1,2,23,1,071,2,-1.8999178804122199,7.4
20150401,1,2,40,1,020,6,-2.91595197255574,3.0
20150401,1,2,40,1,046,6,-2.91595197255574,7.0
20150401,1,2,41,1,111,2,-4.65116279069767,-2.0
20150402,1,2,2,1,042,2,0.76530612244898,1.9
20150402,1,2,14,1,084,5,-1.71232876712329,7.0
20150404,1,2,31,1,042,8,2.42272347535505,1.9
20150406,1,2,8,1,040,20,-1.73139847108711,1.0
20150406,1,2,31,1,010,6,0.95238095238095,0.0
20150407,1,2,2,1,032,6,1.48148148148148,4.5
20150407,1,2,25,1,010,2,-3.6144578313253,0.0
20150408,1,2,15,1,020,5,2.01238390092879,3.0
20150408,1,2,23,1,036,10,-7.02875399361022,4.0
20150409,1,2,5,1,043,5,-3.94029850746269,2.8
20150409,1,2,16,1,010,10,2.57237386269644,0.0
20150409,1,2,27,1,111,6,-2.65486725663717,-2.0
20150410,1,2,14,1,020,2,-2.48833592534992,3.0
20150410,1,2,14,1,043,6,3.27272727272727,2.8
20150410,1,2,21,1,020,6,-2.5527192008879,3.0
20150410,1,2,23,1,013,3,1.11436950146627,0.4
20150411,1,2,5,1,040,2,0.97402597402597,1.0
20150411,1,2,31,1,190,1,-2.74193548387097,-10.0
20150411,1,2,41,1,040,6,-1.50462962962963,1.0
20150413,1,2,31,1,190,1,0.38461538461539,-10.0
20150413,1,2,41,1,128,4,-2.82008060769123,-5.0
20150414,1,2,5,1,173,3,-6.68789808917197,-5.0
20150414,1,2,35,1,071,6,-2.73224043715847,7.4
20150415,1,2,35,1,071,3,-1.94300518134715,7.4
20150416,1,2,12,1,036,10,-1.10497237569061,4.0
20150416,1,2,23,1,0331,4,2.89532293986637,5.2
20150417,1,2,12,1,036,10,-1.10497237569061,4.0
20150419,1,2,16,1,046,20,-1.98300283286119,7.0
20150420,1,2,19,1,071,10,1.38888888888889,7.4
20150420,1,2,27,1,190,4,-8.0168776371308,-10.0
20150421,1,2,5,1,051,5,9.25925925925929,3.4
20150421,1,2,40,1,020,6,0.0,3.0
20150422,1,2,16,1,020,10,-3.04955527318933,3.0
20150422,1,2,23,1,172,6,-5.122662132620845,-5.0
20150422,1,2,42,1,043,10,-0.735294117647059,2.8
20150423,1,2,2,1,020,10,-1.20481927710843,3.0
20150423,1,2,42,1,043,10,-1.23456790123457,2.8
20150424,1,2,2,1,020,10,-0.48309178743961,3.0
20150427,1,2,26,1,190,3,-2.17391304347826,-10.0
20150428,1,2,23,1,020,7,4.83383685800604,3.0
20150429,1,2,20,1,040,4,3.91644908616189,1.0
20150429,1,2,20,1,042,4,3.91644908616189,1.9
20150502,1,2,8,1,051,10,0.45766590389016,3.4
20150503,1,2,28,1,036,10,1.04712041884816,4.0
20150504,1,2,2,1,190,6,-0.53533190578158,-10.0
20150504,1,2,5,1,042,6,1.45719489981785,1.9
20150504,1,2,9,1,040,12,3.381219398773,1.0
20150505,1,2,27,1,0214,4,-1.05055856191432,3.4
20150505,1,2,40,1,112,4,2.0066889632107,-2.0
20150505,1,2,41,1,036,6,2.96495956873315,4.0
20150505,1,2,43,1,043,1,6.39097744360902,2.8
20150506,1,2,2,1,190,6,-3.50877192982456,-10.0
20150506,1,2,10,1,040,6,3.27868852459016,1.0
20150506,1,2,19,1,071,10,-0.625,7.4
20150506,1,2,40,1,040,6,1.47783251231527,1.0
20150506,1,2,45,1,036,10,1.76767676767676,4.0
20150507,1,2,8,1,043,10,-4.4,2.8
20150512,1,2,8,1,020,6,-3.5,3.0
20150512,1,2,10,1,043,6,-0.81709616593337,2.8
20150512,1,2,16,1,090,5,-2.23880597014925,-2.0
20150512,1,2,40,1,036,10,3.01507537688442,4.0
20150513,1,2,5,1,010,10,-2.77264325323475,0.0
20150513,1,2,5,1,013,5,5.88235294117647,0.4
20150513,1,2,5,1,043,3,1.06007067137809,2.8
20150513,1,2,5,1,110,3,-0.87591240875912,-2.0
20150513,1,2,20,1,020,6,2.41433021806853,3.0
20150513,1,2,36,1,043,8,0.0,2.8
20150513,1,2,41,1,010,10,3.0,0.0
20150514,1,2,43,1,040,10,-1.86915887850468,1.0
20150515,1,2,5,1,040,8,0.55248618784531,1.0
20150515,1,2,18,1,071,8,-1.24069478908188,7.4
20150515,1,2,19,1,190,10,-4.78955007256894,-10.0
20150515,1,2,35,1,060,2,-1.3477088948787,6.0
20150516,1,2,20,1,020,6,2.41433021806853,3.0
20150516,1,2,41,1,043,5,0.821917808219178,2.8
20150517,1,2,9,1,010,1,1.16731517509727,0.0
20150517,1,2,18,1,071,8,-1.3129102844639,7.4
20150518,1,2,5,1,051,10,1.7806713006544301,3.4
20150519,1,2,9,1,040,10,0.32154340836013,1.0
20150519,1,2,41,1,012,42,-1.6317607923588333,-0.4
20150520,1,2,8,1,120,5,3.24742268041237,-4.0
20150520,1,2,23,1,051,10,3.94190871369295,3.4
20150520,1,2,41,1,012,6,-1.3262599469496,-0.4
20150521,1,2,41,1,060,10,2.79329608938547,6.0
20150525,1,2,12,1,173,12,-3.3855684258424,-5.0
20150525,1,2,14,1,043,10,1.65016501650165,2.8
20150526,1,2,5,1,071,4,0.700934579439254,7.4
20150526,1,2,23,1,042,6,-2.86532951289399,1.9
20150527,1,2,5,1,040,1,1.45454545454546,1.0
20150527,1,2,13,1,040,6,0.925925925925926,1.0
20150528,1,2,40,1,042,3,-1.17967332123412,1.9
20150530,1,2,20,1,012,8,-1.56626506024096,-0.4
20150531,1,2,40,1,114,18,-4.8760894879327754,-2.0
20150601,1,2,5,1,051,3,-1.80645161290323,3.4
20150601,1,2,40,1,114,6,-4.60176991150442,-2.0
20150603,1,2,23,1,043,2,2.18878248974008,2.8
20150604,1,2,37,1,042,3,0.53583389149364,1.9
20150605,1,2,18,1,071,8,-1.08991825613079,7.4
20150605,1,2,24,1,090,6,3.3246076189845,-2.0
20150605,1,2,37,1,042,3,0.45366169799093,1.9
20150608,1,2,5,1,030,3,-6.0796645702306,4.0
20150608,1,2,13,1,020,4,-1.94518125552609,3.0
20150608,1,2,23,1,020,4,-2.5,3.0
20150608,1,2,23,1,071,2,-6.21621621621622,7.4
20150609,1,2,46,1,071,6,0.46511627906976,7.4
20150610,1,2,2,1,160,2,0.0,-4.0
20150610,1,2,10,1,051,6,6.08519269776876,3.4
20150610,1,2,23,1,090,2,-0.69767441860465,-2.0
20150610,1,2,42,1,043,5,3.80434782608695,2.8
20150611,1,2,2,1,160,3,0.0,-4.0
20150611,1,2,23,1,042,2,2.04081632653061,1.9
20150611,1,2,41,1,046,6,2.09163346613545,7.0
20150612,1,2,5,1,036,6,2.24,4.0
20150612,1,2,8,1,012,6,-0.4995004995005,-0.4
20150613,1,2,5,1,043,5,-3.03458009880028,2.8
20150613,1,2,16,1,040,10,3.88349514563107,1.0
